number,title,composer,arranger,band
147,Variations On A Shaker Melody,Copeland,n/a,Concert
232,Variations on America,Ives/Schuman,n/a,Concert
272,Variations on an Africa Hymnsong,Hilliard,n/a,Concert
76,Waggery For Woodwinds,Walters,n/a,Concert
90,Wake me up Before You Go,n/a,n/a,Marching
124,Walk Like an Egyptian,n/a,n/a,Marching
73,Walk the Dinosaur,n/a,n/a,Marching
184,Walsenburg Gallop,n/a,n/a,Marching
122,Waltz For Ellen,Dillon,n/a,Concert
239,Washington: Behind Used Doors,Barker,n/a,Concert
33,We Built This City,n/a,n/a,Marching
324,We Need A Little Christmas,Herman/Ricketts,n/a,Concert
190,Wenceslas Variations,Dawson,n/a,Concert
254,West Side Story,Bernstein,n/a,Concert
149,What a Wonderful World,Lowden,n/a,Concert
45,What'd I Say,n/a,n/a,Marching
42,When the Going Gets Tough the Tough Get Going,n/a,n/a,Marching
135,When the Saints go Marching in,n/a,n/a,Marching
103,White River Canyon,Higgins,n/a,Concert
95,Who Put the Bomp,n/a,n/a,Marching
267,William Tell Overture (Finale),Longfield,n/a,Concert
82,Willie and the Hand Jive,n/a,n/a,Marching
61,Windy City Dialogue,n/a,n/a,Marching
176,Windy City Dialogue,n/a,n/a,Marching
192,Winter Frolic,Lombardo,n/a,Concert
268,Winter Frolic,Norman,n/a,Concert
240,Winter Sleighride,Herman,n/a,Concert
182,Winter Wonderland,n/a,n/a,Marching
252,With Bugle Fife and Drum,Coke,n/a,Concert
241,Wonderful World Of Christmas The,Christensen,n/a,Concert
81,Woodchopper's Ball,n/a,n/a,Marching
35,Yoga,n/a,n/a,Marching
35,Yorkshire Ballad,Barnes,n/a,Concert
171,You Really Got Me,n/a,n/a,Marching
167,You Should Hear,n/a,n/a,Marching
